Skill,Length,UpPercent,Slope,1,2,3,4
Ok,20,2,High,14,81,143,190
Ok,20,5,Low,16,90,160,212
Ok,20,5,Medium,15,86,154,204
Ok,20,5,High,14,83,148,196
Ok,20,10,Low,16,93,165,218
Ok,20,10,Medium,15,89,158,209
Ok,20,10,High,14,85,152,201
Ok,25,-10,Low,10,69,129,172
Ok,25,-10,Medium,10,66,124,165
Ok,25,-10,High,10,63,119,158
Ok,25,-5,Low,11,73,136,181
Ok,25,-5,Medium,11,70,131,174
Ok,25,-5,High,11,67,126,167
Ok,25,-2,Low,12,77,143,190
Ok,25,-2,Medium,12,74,137,182
Ok,25,-2,High,12,71,132,175
Ok,25,0,Low,13,81,150,200
Ok,25,0,Medium,12,78,144,192
Ok,25,0,High,12,75,138,184
Ok,25,2,Low,13,83,155,206
Ok,25,2,Medium,12,80,149,198
Ok,25,2,High,12,77,143,190
Ok,25,5,Low,13,85,160,212
Ok,25,5,Medium,12,82,154,204
Ok,25,5,High,12,79,148,196
Ok,25,10,Low,13,88,165,218
Ok,25,10,Medium,12,84,158,209
Ok,25,10,High,12,81,152,201
